Timestamp;payload;node;InNodeBatSOC;InNodeBatStatus;fridgeTemp;fridgeHum;InDHTStatus;mainBatSOC;mainBatVoltage;mainBatCurrent;consumed_mAh;chargeCycles;SmartShuntStatus;eBikeState1;eBikeState2;eBikeState3;eBikeState4;OutNodeBatSOC;outNodeBatStatus;outTemp;outHum;OutDHTStatus;illuminance;OutLightStatus;windspeed;OutWindStatus;repNodeBatSOC;repNodeBatStatus
2025-08-10 18:00:37;0100005c019a6003e80089000400 00000000060078;1;96;OK;9.2;41;OK;100;13.7;0.4;0;0;OK;Discharging;Charging;Not Docked;Not Docked;;;;;;;;;;;
2025-08-10 18:00:40;0200011701cdafad00035f00f45b;2;;;;;;;;;;;;;;;;95;OK;27.9;46.1;OK;44973;OK;0.3;OK;91;OK
2025-08-10 18:03:00;c3;3;;OK;;;;;;;;;;;;;;;Error;;;;;;;;93;OK
2025-08-10 18:03:03;0100005a018a6003e80089000300 00000000060082;1;96;OK;9;39.4;OK;100;13.7;0.3;0;0;OK;Discharging;Charging;Not Docked;Not Docked;;;;;;;;;;;
2025-08-10 18:04:41;01000059017a6003e80088000400 000000000600b1;1;96;OK;8.9;37.8;OK;100;13.6;0.4;0;0;OK;Discharging;Charging;Not Docked;Not Docked;;;;;;;;;;;
2025-08-10 18:04:44;0200011501d8ab9d00005c007e5d;2;;;;;;;;;;;;;;;;92;OK;27.7;47.2;OK;43933;OK;0;OK;93;OK
2025-08-10 18:06:41;0100005701696003e80088000300 000000000600b3;1;96;OK;8.7;36.1;OK;100;13.6;0.3;0;0;OK;Discharging;Charging;Not Docked;Not Docked;;;;;;;;;;;
2025-08-10 18:06:45;0200011701d3a86a00015f00c95d;2;;;;;;;;;;;;;;;;95;OK;27.9;46.7;OK;43114;OK;0.1;OK;93;OK
2025-08-10 18:08:38;0100005601616003e80089000400 000000000600e6;1;96;OK;8.6;35.3;OK;100;13.7;0.4;0;0;OK;Discharging;Charging;Not Docked;Not Docked;;;;;;;;;;;
2025-08-10 18:08:41;0200011b01c9a56400005f00055d;2;;;;;;;;;;;;;;;;95;OK;28.3;45.7;OK;42340;OK;0;OK;93;OK
2025-08-10 18:10:40;0100005601676003e80088000300 000000000600d3;1;96;OK;8.6;35.9;OK;100;13.6;0.3;0;0;OK;Discharging;Charging;Not Docked;Not Docked;;;;;;;;;;;
2025-08-10 18:10:43;0200011d01b9a23400006000005d;2;;;;;;;;;;;;;;;;96;OK;28.5;44.1;OK;41524;OK;0;OK;93;OK
2025-08-10 18:12:38;01000056016c6003e80088000300 0000000006002e;1;96;OK;8.6;36.4;OK;100;13.6;0.3;0;0;OK;Discharging;Charging;Not Docked;Not Docked;;;;;;;;;;;
2025-08-10 18:12:41;0200011a01a29f8300005f00965d;2;;;;;;;;;;;;;;;;95;OK;28.2;41.8;OK;40835;OK;0;OK;93;OK
2025-08-10 18:14:38;0100005701745e03e80089000300 000000000600fd;1;94;OK;8.7;37.2;OK;100;13.7;0.3;0;0;OK;Discharging;Charging;Not Docked;Not Docked;;;;;;;;;;;
2025-08-10 18:14:41;0200011501ae9da800065f00ae5b;2;;;;;;;;;;;;;;;;95;OK;27.7;43;OK;40360;OK;0.6;OK;91;OK
2025-08-10 18:16:39;01000058017f6003e80088565330 060000000600fc;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-08-10 18:16:42;0200011501c79bba00005d00475c;2;;;;;;;;;;;;;;;;93;OK;27.7;45.5;OK;39866;OK;0;OK;92;OK
2025-08-10 18:18:40;01000058018d6003e80089000300 00000000060077;1;96;OK;8.8;39.7;OK;100;13.7;0.3;0;0;OK;Discharging;Charging;Not Docked;Not Docked;;;;;;;;;;;
2025-08-10 18:18:43;0200011601b1995900055f00b15d;2;;;;;;;;;;;;;;;;95;OK;27.8;43.3;OK;39257;OK;0.5;OK;93;OK
