Designator,Footprint,Quantity,Value,LCSC Part #
J1,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,LED,
J2,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,SmartShunt,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery +/-,
J5,TerminalBlock_MaiXu_MX126-5.0-08P_1x08_P5.00mm,1,ebikes,
J6,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,DHT22,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22k,
"R10, R12, R14, R5, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,18k,
"R11, R13, R3, R6, R7, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,10k,
"R2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100,
U1,mod2_Adafruit_Feather_32u4_RFM_WithMountingHoles_1,1,Feather 32u4 LoRa SMT,
