Designator,Footprint,Quantity,Value,LCSC Part #
J1,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,LED,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J3,PinHeader_2x06_P2.54mm_Vertical,1,Level Shift,
J4,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,Anemometer,
J6,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,DHT22,
J7,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,1,LightSensor,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22k,
"R2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
U1,mod2_Adafruit_Feather_32u4_RFM_WithMountingHoles_1,1,Feather 32u4 LoRa SMT,
